 &plot nbnd=  70, nks=   221 /
            0.000000  0.000000  0.000000
  -54.480  -54.470  -54.428  -54.428  -28.602  -28.599  -28.598  -28.568  -28.496  -28.462
  -28.133  -28.129  -28.092  -28.075  -28.034  -28.033   -8.999   -7.731   -7.730   -7.493
   -7.189   -7.143   -7.118   -7.109    3.460    4.054    4.112    4.162    4.175    4.865
    4.910    5.728    5.760    5.961    6.059    6.706    6.706    6.748    6.940    7.210
    7.334    7.363    7.986    8.316    8.381    8.512    8.781    9.595   10.635   10.649
   11.120   11.200   11.443   11.460   11.750   12.407   12.580   12.679   12.827   13.267
   13.478   13.780   13.837   14.941   15.026   15.896   16.063   16.234   17.887   21.671
            0.000000  0.031727  0.000000
  -54.480  -54.470  -54.428  -54.428  -28.602  -28.599  -28.598  -28.568  -28.496  -28.462
  -28.133  -28.129  -28.092  -28.075  -28.034  -28.033   -8.997   -7.730   -7.729   -7.494
   -7.191   -7.144   -7.118   -7.111    3.465    4.053    4.115    4.170    4.179    4.865
    4.910    5.728    5.760    5.962    6.059    6.695    6.703    6.749    6.936    7.210
    7.338    7.367    7.979    8.296    8.377    8.522    8.773    9.591   10.636   10.651
   11.128   11.201   11.446   11.468   11.752   12.408   12.580   12.678   12.826   13.269
   13.476   13.784   13.839   14.938   15.025   15.891   16.057   16.231   17.895   21.670
            0.000000  0.063454  0.000000
  -54.480  -54.470  -54.428  -54.428  -28.602  -28.599  -28.598  -28.568  -28.496  -28.462
  -28.133  -28.129  -28.092  -28.075  -28.034  -28.033   -8.990   -7.729   -7.727   -7.494
   -7.196   -7.146   -7.120   -7.116    3.478    4.049    4.125    4.192    4.193    4.864
    4.908    5.726    5.761    5.967    6.057    6.668    6.695    6.748    6.925    7.210
    7.352    7.377    7.958    8.246    8.366    8.542    8.747    9.582   10.641   10.658
   11.150   11.206   11.456   11.492   11.761   12.410   12.580   12.675   12.824   13.276
   13.471   13.795   13.845   14.931   15.019   15.876   16.042   16.222   17.918   21.665
            0.000000  0.095181  0.000000
  -54.480  -54.470  -54.428  -54.428  -28.602  -28.598  -28.598  -28.568  -28.496  -28.463
  -28.133  -28.129  -28.092  -28.075  -28.034  -28.033   -8.978   -7.726   -7.724   -7.495
   -7.204   -7.151   -7.125   -7.122    3.500    4.047    4.141    4.213    4.226    4.861
